country,city,address_store,phone_store,firstname_customer,lastname_customer,payment_customer,firstname_staff,lastname_staff,title_film,description_film,language,name_category,firstname_actor,lastname_actor
"United States",Warren,"1944 Bamenda Way",75975221996,BRANDY,GRAVES,3.99,Mike,Hillyer,"SLEUTH ORIENT","A Fateful Character Study of a Husband And a Dog who must Find a Feminist in Ancient India",English,Games,RALPH,CRUZ
"United States",Warren,"1944 Bamenda Way",75975221996,BRANDY,GRAVES,3.99,Mike,Hillyer,"SLEUTH ORIENT","A Fateful Character Study of a Husband And a Dog who must Find a Feminist in Ancient India",English,Games,CHRISTOPHER,BERRY
"United States",Warren,"1944 Bamenda Way",75975221996,BRANDY,GRAVES,3.99,Mike,Hillyer,"SLEUTH ORIENT","A Fateful Character Study of a Husband And a Dog who must Find a Feminist in Ancient India",English,Games,MORGAN,MCDORMAND
"United States",Warren,"1944 Bamenda Way",75975221996,BRANDY,GRAVES,3.99,Mike,Hillyer,"SLEUTH ORIENT","A Fateful Character Study of a Husband And a Dog who must Find a Feminist in Ancient India",English,Games,HARVEY,HOPE
"United States",Warren,"1944 Bamenda Way",75975221996,BRANDY,GRAVES,3.99,Mike,Hillyer,"SLEUTH ORIENT","A Fateful Character Study of a Husband And a Dog who must Find a Feminist in Ancient India",English,Games,AL,GARLAND
"United States",Warren,"1944 Bamenda Way",75975221996,BRANDY,GRAVES,3.99,Mike,Hillyer,"SLEUTH ORIENT","A Fateful Character Study of a Husband And a Dog who must Find a Feminist in Ancient India",English,Games,WILL,WILSON
"United States",Warren,"1944 Bamenda Way",75975221996,BRANDY,GRAVES,3.99,Mike,Hillyer,"SLEUTH ORIENT","A Fateful Character Study of a Husband And a Dog who must Find a Feminist in Ancient India",English,Games,BURT,TEMPLE
"United States",Warren,"1944 Bamenda Way",75975221996,BRANDY,GRAVES,10.99,Mike,Hillyer,"CASUALTIES ENCINO","A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery",English,Action,CAMERON,STREEP
"United States",Warren,"1944 Bamenda Way",75975221996,BRANDY,GRAVES,10.99,Mike,Hillyer,"CASUALTIES ENCINO","A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery",English,Action,MENA,TEMPLE
"United States",Warren,"1944 Bamenda Way",75975221996,BRANDY,GRAVES,10.99,Mike,Hillyer,"CASUALTIES ENCINO","A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery",English,Action,DARYL,WAHLBERG
"United States",Warren,"1944 Bamenda Way",75975221996,BRANDY,GRAVES,10.99,Mike,Hillyer,"CASUALTIES ENCINO","A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery",English,Action,GROUCHO,DUNST
"United States",Warren,"1944 Bamenda Way",75975221996,BRANDY,GRAVES,10.99,Mike,Hillyer,"CASUALTIES ENCINO","A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery",English,Action,SUSAN,DAVIS
